Transaction_ID,Date,Purchase Time,Customer Segment,Category,Description,Image Path,Espresso Machine,Drip Coffee Maker,French Press,Pour-over Brewer,Cold Brew Coffee Maker,Moka Pot,Siphon Coffee Maker,Single Serve Coffee Maker,Aeropress,Coffee Grinder,Burr Grinder,Espresso Grinder,Milk Frother,Steam Wand,Automatic Milk Steamer,Water Filter System,Water Softener,Tamper,Coffee Scale,Portafilter,Knock Box,Coffee Drip Tray,Milk Pitcher,Shot Glasses,Coffee Filters,Grinder Cleaning Brush,Espresso Machine Cleaning Solution,Milk Frother Cleaning Solution,Coffee Cups,To-go Cups,Saucers,Coffee Stirrers,Sugar Dispensers,Creamer Containers,Nitro Cold Brew Dispenser,Iced Coffee Brewer,Blender,Whipped Cream Dispenser,POS System,Cash Register,Receipt Printer,Coffee Bean Storage Bins,Refrigerators,Freezers,Coffee Canisters,Thermometers,Thermal Coffee Carafes,Ice Maker,Price (Total),Quantity,Customer Type,Loyalty Program,Supplier,Location,Payment Method,Transaction Size,Customer Age Group,Shipping Method,Purchase Intent,Equipment Name,Price (USD)
1,01/01/2024,Evening,Hotel,Brewing Equipment,Durable,/static/img/brewing_equipment/Espresso Machine.jpg,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1591,4,New,Yes,Supplier D,Miami,Mobile Payment,1,26-40,Free Shipping,Immediate Use,Espresso Machine,53.9
2,02/01/2024,Morning,Personal/Home Use,Milk Equipment,Premium version,/static/img/milk_and_steaming_tools/Milk Frother.png,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1166,9,Returning,Yes,Supplier A,San Francisco,Mobile Payment,5,41-60,Free Shipping,Immediate Use,Milk Frother,2.95
3,03/01/2024,Evening,Personal/Home Use,Grinding Equipment,Premium version,/static/img/grinding_equipment/Coffee Grinder.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,569,6,New,Yes,Supplier A,New York,Cash,9,60+,Regular,Immediate Use,Coffee Grinder,119.0
4,04/01/2024,Evening,Cafe,Accessories,Premium version,/static/img/serving_and_accessories/Thermal Coffee Carafes.jpg,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1501,8,Returning,Yes,Supplier D,Miami,Credit Card,6,60+,Expedited,Immediate Use,Thermal Coffee Carafes,22.9
5,05/01/2024,Morning,Personal/Home Use,POS Equipment,Standard model,/static/img/shop_operations/POS System.png,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,542,7,New,Yes,Supplier B,Miami,Mobile Payment,3,26-40,Expedited,Immediate Use,POS System,1000.0
6,06/01/2024,Morning,Personal/Home Use,Cleaning Tools,Durable,/static/img/cleaning_and_maintenance/Grinder Cleaning Brush.png,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1308,2,Returning,No,Supplier A,San Francisco,Credit Card,3,60+,Regular,Immediate Use,Grinder Cleaning Brush,Missing Price
7,07/01/2024,Evening,Cafe,Serving Equipment,High quality,/static/img/serving_and_accessories/Coffee Cups.png,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,669,3,New,No,Supplier C,Miami,Credit Card,7,60+,Regular,Gift,Coffee Cups,Missing Price
8,08/01/2024,Afternoon,Personal/Home Use,Water Filtration,Compact size,/static/img/water_management/Water Softener.png,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1234,1,Returning,No,Supplier A,San Francisco,Cash,6,26-40,Expedited,Immediate Use,Water Softener,Missing Price
9,09/01/2024,Evening,Office,Serving Equipment,High quality,/static/img/serving_and_accessories/Coffee Cups.png,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1794,9,Returning,No,Supplier C,Los Angeles,Mobile Payment,9,26-40,Expedited,Immediate Use,Coffee Cups,Missing Price
10,10/01/2024,Evening,Coffee Bar,Storage Equipment,Durable,/static/img/storage_equipment/Coffee Bean Storage Bins.jpg,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1825,7,Returning,Yes,Supplier D,Chicago,Mobile Payment,6,60+,Expedited,Immediate Use,Coffee Bean Storage Bins,Missing Price
